completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
1.0,1.0,4517650,451.765,1.0,1.0,0.0
1.0,1.0,4446100,444.61,1.0,1.0,0.0
1.0,1.0,4473550,447.355,1.0,1.0,0.0
1.0,1.0,4457350,445.735,1.0,1.0,0.0
1.0,1.0,4441150,444.115,1.0,1.0,0.0
1.0,1.0,4453300,445.33,1.0,1.0,0.0
1.0,1.0,4460050,446.005,1.0,1.0,0.0
1.0,1.0,4451050,445.105,1.0,1.0,0.0
1.0,1.0,4429900,442.99,1.0,1.0,0.0
1.0,1.0,4500100,450.01,1.0,1.0,0.0
1.0,1.0,4402900,440.29,1.0,1.0,0.0
1.0,1.0,4465900,446.59,1.0,1.0,0.0
1.0,1.0,4406050,440.605,1.0,1.0,0.0
1.0,1.0,4457800,445.78,1.0,1.0,0.0
1.0,1.0,4453300,445.33,1.0,1.0,0.0
1.0,1.0,4471300,447.13,1.0,1.0,0.0
1.0,1.0,4442950,444.295,1.0,1.0,0.0
1.0,1.0,4420900,442.09,1.0,1.0,0.0
1.0,1.0,4443400,444.34,1.0,1.0,0.0
1.0,1.0,4395250,439.525,1.0,1.0,0.0
1.0,1.0,4498300,449.83,1.0,1.0,0.0
1.0,1.0,4399300,439.93,1.0,1.0,0.0
1.0,1.0,4370950,437.095,1.0,1.0,0.0
1.0,1.0,4447450,444.745,1.0,1.0,0.0
1.0,1.0,4487500,448.75,1.0,1.0,0.0
1.0,1.0,4464100,446.41,1.0,1.0,0.0
1.0,1.0,4510900,451.09,1.0,1.0,0.0
1.0,1.0,4430350,443.035,1.0,1.0,0.0
1.0,1.0,4453300,445.33,1.0,1.0,0.0
1.0,1.0,4405150,440.515,1.0,1.0,0.0
1.0,1.0,4489300,448.93,1.0,1.0,0.0
1.0,1.0,4491100,449.11,1.0,1.0,0.0
1.0,1.0,4503250,450.325,1.0,1.0,0.0
1.0,1.0,4367800,436.78,1.0,1.0,0.0
1.0,1.0,4475800,447.58,1.0,1.0,0.0
1.0,1.0,4466350,446.635,1.0,1.0,0.0
1.0,1.0,4482100,448.21,1.0,1.0,0.0
1.0,1.0,4450600,445.06,1.0,1.0,0.0
1.0,1.0,4402450,440.245,1.0,1.0,0.0
1.0,1.0,4448350,444.835,1.0,1.0,0.0
1.0,1.0,4407850,440.785,1.0,1.0,0.0
1.0,1.0,4431250,443.125,1.0,1.0,0.0
1.0,1.0,4535200,453.52,1.0,1.0,0.0
1.0,1.0,4450600,445.06,1.0,1.0,0.0
1.0,1.0,4443400,444.34,1.0,1.0,0.0
1.0,1.0,4408750,440.875,1.0,1.0,0.0
1.0,1.0,4450150,445.015,1.0,1.0,0.0
1.0,1.0,4384900,438.49,1.0,1.0,0.0
1.0,1.0,4465000,446.5,1.0,1.0,0.0
1.0,1.0,4470400,447.04,1.0,1.0,0.0
1.0,1.0,4384450,438.445,1.0,1.0,0.0
1.0,1.0,4476250,447.625,1.0,1.0,0.0
1.0,1.0,4452850,445.285,1.0,1.0,0.0
1.0,1.0,4500550,450.055,1.0,1.0,0.0
1.0,1.0,4370950,437.095,1.0,1.0,0.0
1.0,1.0,4420900,442.09,1.0,1.0,0.0
1.0,1.0,4496950,449.695,1.0,1.0,0.0
1.0,1.0,4456450,445.645,1.0,1.0,0.0
1.0,1.0,4376800,437.68,1.0,1.0,0.0
1.0,1.0,4439350,443.935,1.0,1.0,0.0
1.0,1.0,4496500,449.65,1.0,1.0,0.0
1.0,1.0,4366900,436.69,1.0,1.0,0.0
1.0,1.0,4461850,446.185,1.0,1.0,0.0
1.0,1.0,4496500,449.65,1.0,1.0,0.0
1.0,1.0,4456900,445.69,1.0,1.0,0.0
1.0,1.0,4488400,448.84,1.0,1.0,0.0
1.0,1.0,4463200,446.32,1.0,1.0,0.0
1.0,1.0,4417300,441.73,1.0,1.0,0.0
1.0,1.0,4447450,444.745,1.0,1.0,0.0
1.0,1.0,4410550,441.055,1.0,1.0,0.0
1.0,1.0,4505050,450.505,1.0,1.0,0.0
1.0,1.0,4500100,450.01,1.0,1.0,0.0
1.0,1.0,4477600,447.76,1.0,1.0,0.0
1.0,1.0,4503700,450.37,1.0,1.0,0.0
1.0,1.0,4441600,444.16,1.0,1.0,0.0
1.0,1.0,4411000,441.1,1.0,1.0,0.0
1.0,1.0,4437550,443.755,1.0,1.0,0.0
1.0,1.0,4395700,439.57,1.0,1.0,0.0
1.0,1.0,4444750,444.475,1.0,1.0,0.0
1.0,1.0,4417750,441.775,1.0,1.0,0.0
1.0,1.0,4523050,452.305,1.0,1.0,0.0
1.0,1.0,4445650,444.565,1.0,1.0,0.0
1.0,1.0,4503700,450.37,1.0,1.0,0.0
1.0,1.0,4373650,437.365,1.0,1.0,0.0
1.0,1.0,4472650,447.265,1.0,1.0,0.0
1.0,1.0,4448350,444.835,1.0,1.0,0.0
1.0,1.0,4500100,450.01,1.0,1.0,0.0
1.0,1.0,4436650,443.665,1.0,1.0,0.0
1.0,1.0,4469950,446.995,1.0,1.0,0.0
1.0,1.0,4433050,443.305,1.0,1.0,0.0
1.0,1.0,4574350,457.435,1.0,1.0,0.0
1.0,1.0,4452400,445.24,1.0,1.0,0.0
1.0,1.0,4464550,446.455,1.0,1.0,0.0
1.0,1.0,4481650,448.165,1.0,1.0,0.0
1.0,1.0,4498300,449.83,1.0,1.0,0.0
1.0,1.0,4504150,450.415,1.0,1.0,0.0
1.0,1.0,4404250,440.425,1.0,1.0,0.0
1.0,1.0,4514050,451.405,1.0,1.0,0.0
1.0,1.0,4503700,450.37,1.0,1.0,0.0
1.0,1.0,4481650,448.165,1.0,1.0,0.0
1.0,1.0,4436200,443.62,1.0,1.0,0.0
1.0,1.0,4461850,446.185,1.0,1.0,0.0
1.0,1.0,4500100,450.01,1.0,1.0,0.0
1.0,1.0,4471300,447.13,1.0,1.0,0.0
1.0,1.0,4421800,442.18,1.0,1.0,0.0
1.0,1.0,4487950,448.795,1.0,1.0,0.0
1.0,1.0,4472200,447.22,1.0,1.0,0.0
1.0,1.0,4424050,442.405,1.0,1.0,0.0
1.0,1.0,4395250,439.525,1.0,1.0,0.0
1.0,1.0,4460950,446.095,1.0,1.0,0.0
1.0,1.0,4469500,446.95,1.0,1.0,0.0
1.0,1.0,4420900,442.09,1.0,1.0,0.0
1.0,1.0,4523500,452.35,1.0,1.0,0.0
1.0,1.0,4471300,447.13,1.0,1.0,0.0
1.0,1.0,4510900,451.09,1.0,1.0,0.0
1.0,1.0,4537900,453.79,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4453750,445.375,1.0,1.0,0.0
