completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
0.877,0.9546,979100,97.91,0.855638166047088,0.9319415448851774,0.07630337883808946
0.8692,0.9513,977900,97.79,0.8514319809069213,0.9298013245033112,0.07836934359638992
0.8679,0.954,979700,97.97,0.8535144713526285,0.9261435165757449,0.07262904522311642
0.8688,0.9561,980300,98.03,0.8590604026845637,0.9305901911886949,0.07152978850413116
0.8714,0.9536,979500,97.95,0.8522316043425814,0.9261802575107296,0.07394865316814825
0.8671,0.9543,979400,97.94,0.8474065138721351,0.9198275862068965,0.07242107233476147
0.8703,0.9522,978350,97.835,0.8496058217101273,0.9269264836138176,0.07732066190369025
0.8706,0.952,977800,97.78,0.8727272727272727,0.9204210526315789,0.04769377990430623
0.8763,0.9568,981100,98.11,0.8531343283582089,0.937261551504875,0.0841272231466661
0.8698,0.9498,977600,97.76,0.8451957295373665,0.9304456476468138,0.08524991810944726
0.8728,0.9529,978250,97.825,0.8685503685503686,0.9292929292929293,0.06074256074256068
0.8713,0.9542,980250,98.025,0.8416770963704631,0.9310782241014799,0.08940112773101683
0.8725,0.9515,978450,97.845,0.8644888082274652,0.9262634631317316,0.06177465490426637
0.8671,0.9547,978700,97.87,0.8496009821976673,0.922180607573866,0.07257962537619866
0.8712,0.9547,980500,98.05,0.8545454545454545,0.9300215982721383,0.07547614372668376
0.8719,0.954,977900,97.79,0.8586165048543689,0.9300937766410913,0.07147727178672236
0.8735,0.9538,978250,97.825,0.8550029958058718,0.9274228596262495,0.07241986382037768
0.8666,0.949,976750,97.675,0.8499406880189798,0.9233025984911987,0.07336191047221885
0.8682,0.9542,979350,97.935,0.8566221142162819,0.9175300455864069,0.06090793137012507
0.8707,0.9543,979400,97.94,0.8630054315027158,0.9201698513800425,0.05716441987732668
0.8669,0.9498,977150,97.715,0.8451730418943534,0.9389312977099237,0.09375825581557029
0.8736,0.9526,977650,97.765,0.8568738229755178,0.9329747621017791,0.07610093912626126
0.8694,0.9527,978150,97.815,0.8634663341645885,0.9319868095630668,0.06852047539847828
0.862,0.9482,975900,97.59,0.8414123279473369,0.9165275459098498,0.07511521796251286
0.871,0.9539,978750,97.875,0.8574850299401198,0.9172240802675585,0.05973905032743876
0.8673,0.9528,977750,97.775,0.8502122498483929,0.9325793823401479,0.08236713249175498
0.8679,0.9516,978050,97.805,0.8539663461538461,0.9277566539923955,0.07379030783854934
0.8698,0.955,979300,97.93,0.8547317661241712,0.9225915018931427,0.06785973576897142
0.8759,0.9545,979950,97.995,0.8500311138767891,0.9300758213984835,0.08004470752169446
0.8701,0.953,979200,97.92,0.8535844471445929,0.9239934264585046,0.07040897931391166
0.8704,0.9546,979550,97.955,0.8613366645846346,0.9259104227710339,0.06457375818639921
0.868,0.9485,976050,97.605,0.8588090853284224,0.9277469003847798,0.06893781505635743
0.8726,0.9542,978450,97.845,0.8462477120195241,0.9351890319900291,0.08894131997050503
0.8714,0.9524,978450,97.845,0.8655072463768116,0.9280099296648738,0.06250268328806219
0.8663,0.9513,977900,97.79,0.8487555839183153,0.9216417910447762,0.07288620712646088
0.8684,0.9526,978550,97.855,0.8593023255813953,0.9210179903466432,0.061715664765247924
0.8739,0.9533,978900,97.89,0.8561194029850746,0.9378907878282617,0.08177138484318713
0.8698,0.9504,976550,97.655,0.8552795031055901,0.9240780911062907,0.0687985880007006
0.8702,0.9506,978450,97.845,0.8481012658227848,0.9303193695562008,0.08221810373341598
0.8731,0.9528,978650,97.865,0.8599269183922046,0.933305012744265,0.07337809435206044
0.8724,0.9547,979150,97.915,0.8506731946144431,0.9334485738980121,0.08277537928356893
0.8654,0.9531,979250,97.925,0.8459214501510574,0.9279731993299832,0.08205174917892588
0.8736,0.9539,979200,97.92,0.8575703171753442,0.9265584970111016,0.06898817983575745
0.875,0.953,979200,97.92,0.8552795031055901,0.9357530246141009,0.08047352150851084
0.8717,0.9508,976750,97.675,0.8640192539109507,0.9261773440814595,0.06215809017050877
0.8649,0.9525,978500,97.85,0.8434622467771639,0.9250210614995787,0.08155881472241489
