completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
0.9971,0.9977,8857550,885.755,0.9987063389391979,0.9974533106960951,-0.001253028243102805
0.9966,0.9973,8936050,893.605,0.9981884057971014,0.9982942430703625,0.00010583727326107795
0.9978,0.998,8916400,891.64,0.9988172678888232,0.9969565217391304,-0.0018607461496927824
0.9966,0.9972,8928200,892.82,0.9993593850096092,0.9974597798475868,-0.0018996051620223664
0.9968,0.9974,8832050,883.205,0.9982153480071386,0.9991273996509599,0.0009120516438212434
0.9966,0.997,8905150,890.515,0.9987492182614134,0.9974842767295597,-0.0012649415318536361
0.997,0.9973,8821550,882.155,1.0,0.996600084997875,-0.003399915002124998
0.9972,0.9974,8846850,884.685,1.0,0.9974468085106383,-0.002553191489361728
0.9976,0.998,8834850,883.485,0.999409681227863,0.9991507430997877,-0.00025893812807531447
0.9969,0.9971,8853200,885.32,0.9982497082847142,1.0,0.0017502917152858455
0.9968,0.9974,8870700,887.07,0.9975293390982087,0.9983179142136249,0.0007885751154161902
0.9966,0.9973,8901600,890.16,0.998211091234347,0.9970748015043878,-0.0011362897299592722
0.9974,0.9981,8908450,890.845,0.9993846153846154,0.9970161977834612,-0.002368417601154249
0.9963,0.997,8913850,891.385,0.9967948717948718,0.9987091222030982,0.0019142504082263478
0.9955,0.9963,8821000,882.1,0.9975698663426489,0.9982825246887076,0.0007126583460587144
0.9964,0.997,8863850,886.385,0.9987752602571953,0.998740025199496,-3.523505769931212e-05
0.9963,0.9967,8846250,884.625,0.9993913572732805,0.9965811965811966,-0.0028101606920839517
0.9969,0.9973,8907500,890.75,0.9988066825775657,0.9987298899237934,-7.679265377225075e-05
0.9964,0.9968,8813750,881.375,0.9987797437461867,0.9960801393728222,-0.0026996043733644726
0.9971,0.9977,8746750,874.675,1.0,0.9969982847341338,-0.003001715265866234
0.9976,0.9979,8969650,896.965,1.0,0.9987598181066556,-0.0012401818933444053
0.9966,0.9973,8950650,895.065,0.9981308411214953,0.996661101836394,-0.0014697392851013014
0.9968,0.9974,8884250,888.425,0.9987900786448881,0.9979707792207793,-0.0008192994241088547
0.9974,0.9977,8826800,882.68,0.9987760097919217,0.9971050454921423,-0.0016709642997794205
0.9967,0.997,8878250,887.825,0.9987752602571953,0.9983143699957859,-0.0004608902614093857
0.9967,0.9973,8877250,887.725,0.997539975399754,0.9974424552429667,-9.752015678732295e-05
0.9962,0.9968,8872300,887.23,0.9974587039390089,0.9969683845820702,-0.0004903193569387732
0.9972,0.9976,8891300,889.13,0.9988297249853716,0.9982608695652174,-0.0005688554201541685
0.997,0.9973,8848450,884.845,0.9987577639751553,0.997893850042123,-0.000863913933032201
