child_id,dose_step,optimal_action,q_a0,q_a1,q_a2,q_a3,q_a4,q_max,q_advantage,behaviour_action,weight
577_63_2,0,4,1.6137013066570203,1.613283440239818,1.6038414325357069,1.167034088843321,1.6685549981047594,1.6685549981047594,0.054853691447739106,0,0.9782009720802307
577_63_2,1,2,0.7071682549396525,1.1700749131050607,1.1776310860792434,1.167034088843321,1.0681020757253898,1.1776310860792434,0.007556172974182651,1,0.9782009720802307
578_27_2,0,1,1.646749154449956,1.669882916741464,1.6145703942285872,1.167034088843321,1.628422893681932,1.669882916741464,0.0,1,1.149055004119873
578_27_2,1,0,1.2483501349398123,1.1698901619665931,1.169096246871301,1.167034088843321,1.185479126015601,1.2483501349398123,0.07845997297321916,1,1.149055004119873
578_85_2,0,2,1.1144610595215216,1.6086850763695169,1.6165793801306636,1.167034088843321,1.5524037084035576,1.6165793801306636,0.007894303761146748,1,1.149055004119873
578_85_2,1,2,0.8416131210582068,1.166598419788834,1.170050565225626,1.167034088843321,1.1240355681024115,1.170050565225626,0.0034521454367919535,1,1.149055004119873
579_19_2,0,0,1.7076929618741394,1.5890177943556678,1.61081841713165,1.167034088843321,1.5821454116564753,1.7076929618741394,0.11867516751847162,1,0.714497983455658
579_19_2,1,0,1.1862908528548906,1.1690144018741042,1.1655197565877462,1.167034088843321,1.1673310422400913,1.1862908528548906,0.01727645098078634,1,0.714497983455658
580_10_2,0,2,1.5368974252527405,1.603150840947714,1.6040502432281776,1.167034088843321,1.598249164381779,1.6040502432281776,0.0,2,0.5634790062904358
580_10_2,1,4,1.1842838260902193,1.1677020817349777,1.1706803457544301,1.167034088843321,1.191839408435523,1.191839408435523,0.02115906268109291,2,0.5634790062904358
580_43_3,0,0,1.7401121882775323,1.6123428123588248,1.6204704899504645,1.167034088843321,1.6205858442679073,1.7401121882775323,0.12776937591870752,1,0.5634790062904358
580_43_3,1,0,1.2578388973956112,1.1689889879427557,1.1682448368247156,1.167034088843321,1.1980003658420537,1.2578388973956112,0.08884990945285542,1,0.5634790062904358
581_24_3,0,2,0.6175061624305728,1.5733708853804182,1.6067109433451048,1.167034088843321,1.3601543173128123,1.6067109433451048,0.989204780914532,0,0.6410940289497375
581_24_3,1,2,0.2651258683106173,1.1681017550714328,1.1704419774314965,1.167034088843321,0.22841074434255274,1.1704419774314965,0.9053161091208792,0,0.6410940289497375
582_27_4,0,2,0.1526605437024009,1.586188965312257,1.5864385963038619,1.167034088843321,1.2737960014093344,1.5864385963038619,0.00024963099160491,1,1.1652100086212158
582_27_4,1,2,0.17994929534435736,1.1663486676692512,1.167641803925306,1.167034088843321,0.6959667523910675,1.167641803925306,0.001293136256054872,1,1.1652100086212158
582_31_2,0,4,0.30648944809320655,1.5836042758142004,1.5885979378333734,1.167034088843321,1.6328955963989786,1.6328955963989786,0.04929132058477825,1,1.1652100086212158
582_31_2,1,3,0.13700842367186492,1.1641008408911138,1.1655838800238962,1.167034088843321,1.0395346427609231,1.167034088843321,1.030025665171456,0,1.1652100086212158
582_37_2,0,1,1.2978615680628396,1.5906665449664377,1.5899973519678845,1.167034088843321,1.5755410031450818,1.5906665449664377,0.0006691929985531697,2,1.1652100086212158
582_37_2,1,4,1.1684955338614476,1.1690584724717255,1.1650888198940983,1.167034088843321,1.1847205710488131,1.1847205710488131,0.016225037187365565,0,1.1652100086212158
584_6_2,0,1,1.525022366816428,1.5914586474715255,1.588464726327862,1.167034088843321,1.5776377085286442,1.5914586474715255,0.0,1,0.7725890278816223
584_6_2,1,0,1.1797828044516028,1.165177151279676,1.1685360379913818,1.167034088843321,1.154814856004693,1.1797828044516028,0.014605653171926747,1,0.7725890278816223
585_42_2,0,2,0.23278525112403808,1.5905508263331003,1.596822528834978,1.167034088843321,0.915143656241787,1.596822528834978,0.006271702501877696,1,1.6636849641799927
585_42_2,1,3,0.013030464342973705,1.1582792348637294,1.1639324776051974,1.167034088843321,0.027085792976103692,1.167034088843321,1.1540036245003473,0,1.6636849641799927
585_74_2,0,2,0.20212634538121338,1.588570563674691,1.5942365412601602,1.167034088843321,0.37034182647097275,1.5942365412601602,1.3921101958789468,0,1.6636849641799927
585_94_2,0,2,1.5038246879924448,1.5947883712978725,1.595819273793876,1.167034088843321,1.484670826897143,1.595819273793876,0.09199458580143105,0,1.6636849641799927
585_94_2,1,2,0.17718896688530927,1.1626778036716736,1.1684668873789548,1.167034088843321,0.18211998275731658,1.1684668873789548,0.9912779204936455,0,1.6636849641799927
586_2_2,0,4,1.7447335955389034,1.62676522922428,1.6217405324765026,1.167034088843321,1.7591573236820373,1.7591573236820373,0.014423728143133863,0,0.3069230020046234
586_2_2,1,1,1.0580659033724729,1.1711318247649658,1.1662546598852788,1.167034088843321,1.0885700794363358,1.1711318247649658,0.11306592139249294,0,0.3069230020046234
586_26_2,0,2,0.1325342293191793,1.5797959020213792,1.620200304255444,1.167034088843321,1.0746651529815963,1.620200304255444,0.04040440223406483,1,0.3069230020046234
586_26_2,1,3,0.11732043931995938,1.1584349678035626,1.165741804274688,1.167034088843321,0.2859071134201376,1.167034088843321,1.0497136495233617,0,0.3069230020046234
588_4_3,0,4,1.5136622225002756,1.6063033615265285,1.6009156658728252,1.167034088843321,1.658151726469211,1.658151726469211,0.05184836494268241,1,0.3836449980735779
588_4_3,1,0,1.2969229722123004,1.1706615223716614,1.1694088397987958,1.167034088843321,1.1954879043229947,1.2969229722123004,0.12626144984063892,1,0.3836449980735779
588_20_2,0,2,1.3239423348328914,1.5967954828495383,1.604250704183562,1.167034088843321,1.5826453365028232,1.604250704183562,0.007455221334023765,1,0.3836449980735779
588_20_2,1,4,1.0867753401161762,1.1678602767542976,1.166387620651648,1.167034088843321,1.1745888548160968,1.1745888548160968,0.006728578061799162,1,0.3836449980735779
589_3_2,0,4,0.27689489356376723,1.5853276334115778,1.6118482433601489,1.167034088843321,1.6864143533897051,1.6864143533897051,0.10108671997812735,1,0.9113569855690002
589_3_2,1,3,0.15195483436603224,1.164491097065899,1.1643409059556664,1.167034088843321,1.0321974751140528,1.167034088843321,0.00254299177742201,1,0.9113569855690002
589_16_2,0,1,0.8447799143526422,1.6110599809022401,1.5794309781182794,1.167034088843321,1.5223855006056073,1.6110599809022401,0.7662800665495979,0,0.9113569855690002
589_20_1,0,2,0.20456114187576732,1.5710872235362254,1.5777848534395016,1.167034088843321,1.3709160406688319,1.5777848534395016,0.006697629903276159,1,0.9113569855690002
589_20_1,1,3,0.13596876088205567,1.165479532986716,1.1622390163948442,1.167034088843321,0.6064057963419245,1.167034088843321,1.0310653279612654,0,0.9113569855690002
589_25_1,0,2,0.8651705960716655,1.5807014314226062,1.5860973519371615,1.167034088843321,1.4449801120944796,1.5860973519371615,0.005395920514555286,1,0.9113569855690002
589_25_1,1,3,0.9069185543764534,1.1654344219919444,1.1660681109916398,1.167034088843321,1.1388720041439824,1.167034088843321,0.001599666851376691,1,0.9113569855690002
589_47_2,0,4,1.5673902887333186,1.6400853733579912,1.5965127425061325,1.167034088843321,1.6419005087615894,1.6419005087615894,0.07451022002827079,0,0.9113569855690002
589_47_2,1,4,1.1760708327587364,1.1755100304634203,1.1823268575632877,1.167034088843321,1.1858520703926296,1.1858520703926296,0.00978123763389327,0,0.9113569855690002
589_56_2,0,2,1.2328749533096075,1.57695540527086,1.6187431700736286,1.167034088843321,1.543643300849078,1.6187431700736286,0.38586821676402105,0,0.9113569855690002
589_56_2,1,2,0.6661855695623302,1.1651023008273118,1.1791749493093275,1.167034088843321,1.0681178178768622,1.1791749493093275,0.014072648482015726,1,0.9113569855690002
590_11_2,0,1,1.5861863175731115,1.6112981976296117,1.6012537623771743,1.167034088843321,1.595120062001053,1.6112981976296117,0.0,1,0.9339349865913391
590_11_2,1,0,1.2757535521736374,1.1622547148865263,1.1615349264562558,1.167034088843321,1.1513523912969563,1.2757535521736374,0.11349883728711108,1,0.9339349865913391
591_33_3,0,1,1.5181068810184566,1.605038733829646,1.5791556253776218,1.167034088843321,1.5964736945898885,1.605038733829646,0.02588310845202413,2,1.8298109769821167
591_33_3,1,0,1.2342768728801854,1.1673487266209228,1.1658229946816756,1.167034088843321,1.160348355481134,1.2342768728801854,0.06845387819850979,2,1.8298109769821167
591_52_2,0,2,1.518908279366287,1.5889609694374178,1.5912896669607755,1.167034088843321,1.5832651021391517,1.5912896669607755,0.0023286975233576257,1,1.8298109769821167
591_52_2,1,0,1.1841932832038171,1.1712209195791765,1.1682712221525706,1.167034088843321,1.148348581239042,1.1841932832038171,0.0,0,1.8298109769821167
591_94_2,0,2,1.360740499113437,1.5889043943455479,1.5920394639134403,1.167034088843321,1.590807991018613,1.5920394639134403,0.0031350695678924456,1,1.8298109769821167
591_94_2,1,1,1.133580762044245,1.1677481123258173,1.1657171123634986,1.167034088843321,1.1564611485243041,1.1677481123258173,0.0,1,1.8298109769821167
593_7_4,0,2,1.592655237924407,1.5889537626449788,1.6001643412380628,1.167034088843321,1.5947216001782916,1.6001643412380628,0.0075091033136558405,0,0.7848389744758606
593_7_4,1,2,1.1081194266822705,1.1695125105067488,1.1709141085423176,1.167034088843321,1.0201946135179423,1.1709141085423176,0.06279468186004711,0,0.7848389744758606
593_8_2,0,4,1.4978789686670821,1.574092698583993,1.6013255031138411,1.167034088843321,1.6064588326433002,1.6064588326433002,0.1085798639762181,0,0.7848389744758606
593_8_2,1,3,0.6797417143841996,1.1657104619458214,1.1658106387076392,1.167034088843321,1.0053080462909418,1.167034088843321,0.0013236268974996523,1,0.7848389744758606
593_17_2,0,2,0.43005430214309426,1.5773021205938822,1.5917607553221809,1.167034088843321,1.3073069908085626,1.5917607553221809,0.01445863472829867,1,0.7848389744758606
593_17_2,1,3,0.19368059781988145,1.1660072781338815,1.1656564767040916,1.167034088843321,0.31764171452940815,1.167034088843321,0.9733534910234396,0,0.7848389744758606
593_17_3,0,2,0.2825854334055085,1.5833375663340292,1.6149046125473714,1.167034088843321,0.4789964183397403,1.6149046125473714,1.332319179141863,0,0.7848389744758606
593_24_2,0,1,1.5183059798031127,1.6062883739272045,1.5896828166065322,1.167034088843321,1.5100959975414636,1.6062883739272045,0.08798239412409181,0,0.7848389744758606
593_44_3,0,4,1.6164538819823595,1.5898849002566051,1.5943154378188247,1.167034088843321,1.7191259795171177,1.7191259795171177,0.10267209753475814,0,0.7848389744758606
593_44_3,1,2,1.0873083238944432,1.1676210229976922,1.1691579876540124,1.167034088843321,0.9939205656936069,1.1691579876540124,0.08184966375956915,0,0.7848389744758606
593_48_2,0,2,1.2859239534568747,1.5935533363992995,1.607811395140373,1.167034088843321,1.3229797887191894,1.607811395140373,0.32188744168349825,0,0.7848389744758606
593_50_2,0,2,1.469932117456944,1.5878321941310283,1.6076639308583676,1.167034088843321,1.4502717682857222,1.6076639308583676,0.1377318134014236,0,0.7848389744758606
593_50_2,1,3,0.32696410787896474,1.1624605751677635,1.165967150002006,1.167034088843321,0.49983573614626864,1.167034088843321,0.8400699809643564,0,0.7848389744758606
594_25_3,0,2,0.2947645539358925,1.5797066718754924,1.6050981054670408,1.167034088843321,1.3355202485581488,1.6050981054670408,0.025391433591548385,1,0.7036259770393372
594_25_3,1,2,0.10084811694853453,1.1661663353067524,1.1720482402144357,1.167034088843321,0.7882828380736557,1.1720482402144357,1.0712001232659012,0,0.7036259770393372
