,,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout
,,Missing,Overall,0,1,P-Value,Test
n,,,3194,2722,472,,
"v131, n (%)",278,,6 (0.2),6 (0.2),0 (0.0),,
"v131, n (%)",28,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",282,,3 (0.1),3 (0.1),0 (0.0),,
"v131, n (%)",283,,49 (1.5),48 (1.8),1 (0.2),,
"v131, n (%)",284,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",285,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",287,,12 (0.4),11 (0.4),1 (0.2),,
"v131, n (%)",289,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",291,,5 (0.2),5 (0.2),0 (0.0),,
"v131, n (%)",293,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",298,,362 (11.3),308 (11.3),54 (11.4),,
"v131, n (%)",299,,6 (0.2),5 (0.2),1 (0.2),,
"v131, n (%)",303,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",304,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",305,,14 (0.4),13 (0.5),1 (0.2),,
"v131, n (%)",307,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",309,,6 (0.2),4 (0.1),2 (0.4),,
"v131, n (%)",31,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",311,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",313,,12 (0.4),10 (0.4),2 (0.4),,
"v131, n (%)",314,,6 (0.2),5 (0.2),1 (0.2),,
"v131, n (%)",316,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",317,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",32,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",321,,4 (0.1),3 (0.1),1 (0.2),,
"v131, n (%)",322,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",323,,6 (0.2),6 (0.2),0 (0.0),,
"v131, n (%)",330,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",335,,6 (0.2),5 (0.2),1 (0.2),,
"v131, n (%)",339,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",34,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",341,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",346,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",349,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",358,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",36,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",360,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",364,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",366,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",367,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",369,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",37,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",379,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",381,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",387,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",388,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",391,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",396,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",40,,3 (0.1),3 (0.1),0 (0.0),,
"v131, n (%)",45,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",46,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",47,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",5,,8 (0.3),7 (0.3),1 (0.2),,
"v131, n (%)",50,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",53,,10 (0.3),9 (0.3),1 (0.2),,
"v131, n (%)",54,,19 (0.6),17 (0.6),2 (0.4),,
"v131, n (%)",55,,12 (0.4),5 (0.2),7 (1.5),,
"v131, n (%)",57,,10 (0.3),9 (0.3),1 (0.2),,
"v131, n (%)",6,,3 (0.1),1 (0.0),2 (0.4),,
"v131, n (%)",61,,31 (1.0),28 (1.0),3 (0.6),,
"v131, n (%)",64,,8 (0.3),8 (0.3),0 (0.0),,
"v131, n (%)",65,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",66,,13 (0.4),11 (0.4),2 (0.4),,
"v131, n (%)",68,,5 (0.2),3 (0.1),2 (0.4),,
"v131, n (%)",70,,3 (0.1),3 (0.1),0 (0.0),,
"v131, n (%)",71,,9 (0.3),5 (0.2),4 (0.8),,
"v131, n (%)",77,,5 (0.2),4 (0.1),1 (0.2),,
"v131, n (%)",78,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",83,,28 (0.9),23 (0.8),5 (1.1),,
"v131, n (%)",85,,14 (0.4),10 (0.4),4 (0.8),,
"v131, n (%)",86,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",87,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",88,,23 (0.7),21 (0.8),2 (0.4),,
"v131, n (%)",89,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",9,,5 (0.2),5 (0.2),0 (0.0),,
"v131, n (%)",90,,6 (0.2),6 (0.2),0 (0.0),,
"v131, n (%)",91,,45 (1.4),44 (1.6),1 (0.2),,
"v131, n (%)",92,,5 (0.2),5 (0.2),0 (0.0),,
"v131, n (%)",97,,13 (0.4),12 (0.4),1 (0.2),,
"v131, n (%)",99,,10 (0.3),10 (0.4),0 (0.0),,
"v131, n (%)",996,,41 (1.3),33 (1.2),8 (1.7),,
"v743a, n (%)",1.0,,452 (14.2),401 (14.7),51 (10.8),0.001,Chi-squared (warning: expected count < 5)
"v743a, n (%)",2.0,,1252 (39.2),1077 (39.6),175 (37.1),,
"v743a, n (%)",4.0,,1322 (41.4),1118 (41.1),204 (43.2),,
"v743a, n (%)",5.0,,5 (0.2),4 (0.1),1 (0.2),,
"v743a, n (%)",6.0,,1 (0.0),1 (0.0),0 (0.0),,
